idspecies,id_sp_region,population_status,sourceid
4129,162,Unknown,""
4154,163,Unknown,""
4160,164,Unknown,""
4240,165,Unknown,""
4259,166,Unknown,""
4421,167,Unknown,""
4428,168,Unknown,""
4430,169,Unknown,""
4502,170,Unknown,""
4534,171,Unknown,""
4563,172,Unknown,""
4566,173,Unknown,""
4575,174,Unknown,""
4647,175,Unknown,""
4659,176,Unknown,""
4730,177,Unknown,""
4674,178,Unknown,""
4717,179,Unknown,""
4805,180,Unknown,""
5032,181,Unknown,""
8364,182,Unknown,""
8362,183,Unknown,""
8553,184,Unknown,""
8568,185,Unknown,""
54068,186,Unknown,""
6022,187,Unknown,""
13547,188,Unknown,""
13666,189,Unknown,""
13697,190,Unknown,""
17644,191,Unknown,""
8692,192,Unknown,""
17774,193,Unknown,""
20774,194,Unknown,""
20797,195,Unknown,""
141,197,Established,""
88,198,Established,""
107,199,Established,""
173,200,Established,""
8232,201,Established,""
8245,202,Established,""
7219,203,Established,""
7165,204,Established,""
15112,205,Established,""
17202,206,Established,""
21415,207,Established,""
13452,208,Established,""
12773,209,Established,""
12793,210,Established,""
12279,211,Established,""
10959,212,Established,""
11017,213,Established,""
14645,214,Established,""
7312,215,Established,""
9584,216,Established,""
9909,217,Established,""
10019,218,Established,""
6193,219,Established,""
19121,220,Established,""
20666,221,Established,""
24120,222,Established,""
22560,223,Established,""
2289,224,Established,""
2235,225,Established,""
1517,226,Established,""
4545,227,Established,""
4459,228,Established,""
3411,229,Established,""
4847,230,Established,""
4843,231,Established,""
4336,232,Established,""
4343,233,Established,""
3013,234,Established,""
4395,235,Established,""
667,236,Established,""
972,237,Established,""
11330,238,Established,""
5464,239,Established,""
22615,240,Established,""
2793,241,Established,""
16970,242,Established,""
622,243,Established,""
2924,244,Established,""
7190,245,Established,""
10461,246,Established,""
5121,247,Established,""
18785,248,Established,""
19223,249,Established,""
67,250,Established,""
23807,251,Established,""
5443,252,Established,""
12285,253,Established,""
22924,254,Established,""
23521,255,Established,""
23832,256,Established,""
4532,257,Established,""
3111,258,Established,""
3626,259,Established,""
4694,261,Established,""
3461,262,Established,""
719,263,Established,""
19421,264,Established,""
4028,265,Established,""
22875,266,Established,""
21855,267,Established,""
3521,268,Established,""
21412,269,Established,""
8542,270,Established,""
7401,271,Established,""
23830,272,Established,""
8571,274,Established,""
10878,275,Established,""
20672,276,Established,""
4152,277,Established,""
11516,278,Established,""
19170,279,Established,""
5478,280,Established,""
16267,281,Established,""
8765,282,Established,""
13076,283,Established,""
16886,284,Established,""
23403,285,Established,""
3395,286,Established,""
6412,287,Established,""
7405,288,Established,""
7692,289,Established,""
15010,290,Established,""
12048,291,Established,""
9492,292,Established,""
17648,293,Established,""
17644,294,Established,""
17543,295,Established,""
19020,296,Established,""
3063,297,Established,""
3066,298,Established,""
7582,299,Established,""
3609,300,Established,""
9713,301,Established,""
13648,302,Established,""
5248,303,Established,""
8642,304,Established,""
11544,305,Established,""
19696,306,Established,""
6759,307,Established,""
6893,308,Established,""
7980,309,Established,""
7861,310,Established,""
5737,311,Established,""
16458,312,Established,""
15667,313,Established,""
12005,314,Established,""
12066,315,Established,""
12113,316,Established,""
12178,317,Established,""
10366,318,Established,""
10322,319,Established,""
16732,320,Established,""
21119,322,Established,""
21252,323,Established,""
21381,324,Established,""
17344,325,Established,""
17652,326,Established,""
20560,327,Established,""
20738,328,Established,""
19612,329,Established,""
19911,330,Established,""
22985,331,Established,""
22056,332,Established,""
1740,333,Established,""
5023,334,Established,""
2900,335,Established,""
12893,336,Established,""
24195,337,Established,""
7115,338,Established,""
2235,339,Established,""
16970,340,Established,""
2554,341,Established,""
2589,342,Established,""
2568,343,Established,""
6742,344,Established,""
6752,345,Established,""
6867,346,Established,""
6893,347,Established,""
7010,348,Established,""
7046,349,Established,""
7080,350,Established,""
2924,351,Established,""
22320,352,Established,""
7190,353,Established,""
7178,354,Established,""
10235,355,Established,""
10154,356,Established,""
10173,357,Established,""
10189,358,Established,""
10197,359,Established,""
21892,360,Established,""
21914,361,Established,""
21935,362,Established,""
5210,363,Established,""
7211,364,Established,""
7165,365,Established,""
20266,366,Established,""
20470,367,Established,""
7312,368,Established,""
10959,369,Established,""
4343,370,Established,""
10386,371,Established,""
23608,372,Established,""
20612,373,Established,""
22975,374,Established,""
4805,375,Established,""
12005,376,Established,""
16574,377,Established,""
16633,378,Established,""
12823,379,Established,""
8697,380,Established,""
7900,381,Established,""
22133,382,Established,""
3111,383,Established,""
5874,384,Established,""
15650,385,Established,""
3364,386,Established,""
22027,387,Established,""
20364,388,Established,""
3512,389,Established,""
17692,390,Established,""
23070,391,Established,""
8787,392,Established,""
19121,393,Established,""
8623,394,Established,""
24153,395,Established,""
17044,396,Established,""
7255,397,Established,""
8673,398,Established,""
19214,399,Established,""
1478,400,Established,""
8642,403,Established,""
21412,404,Established,""
11926,405,Established,""
11942,406,Established,""
23603,407,Established,""
4676,408,Established,""
20726,409,Established,""
4891,410,Established,""
24075,411,Established,""
495,412,Established,""
7178,413,Established,""
7190,414,Established,""
16950,415,Established,""
17691,416,Established,""
17692,417,Established,""
7270,418,Established,""
7292,419,Established,""
12634,420,Established,""
12656,421,Established,""
24153,422,Established,""
20266,423,Established,""
20302,424,Established,""
8747,425,Established,""
8748,426,Established,""
12823,427,Established,""
12866,428,Established,""
9532,429,Established,""
9539,430,Established,""
8673,431,Established,""
13466,432,Established,""
16970,433,Established,""
20470,434,Established,""
20612,435,Established,""
16574,436,Established,""
19121,437,Established,""
2235,438,Established,""
5443,439,Established,""
1508,440,Established,""
4393,441,Established,""
4891,442,Established,""
6350,443,Established,""
22615,444,Established,""
7010,445,Established,""
7046,446,Established,""
22320,447,Established,""
22399,448,Established,""
22433,449,Established,""
3111,450,Established,""
21892,451,Established,""
21914,452,Established,""
21935,453,Established,""
3364,454,Established,""
3343,455,Established,""
20353,456,Established,""
20364,457,Established,""
3609,458,Established,""
17960,459,Established,""
9852,460,Established,""
9909,461,Established,""
7300,462,Established,""
10959,463,Established,""
4343,464,Established,""
4369,465,Established,""
9586,466,Established,""
11942,467,Established,""
4805,468,Established,""
24075,469,Established,""
24077,470,Established,""
141,531,Established,""
105,532,Established,""
17109,533,Established,""
7165,534,Established,""
7190,535,Established,""
16939,536,Established,""
22615,537,Established,""
21655,538,Established,""
22320,539,Established,""
22433,540,Established,""
21892,541,Established,""
21914,542,Established,""
21935,543,Established,""
22017,544,Established,""
22560,545,Established,""
22867,546,Established,""
22875,547,Established,""
23676,548,Established,""
23701,549,Established,""
20302,550,Established,""
8800,551,Established,""
8719,552,Established,""
8795,553,Established,""
8748,554,Established,""
10386,555,Established,""
16859,556,Established,""
12729,557,Established,""
12749,558,Established,""
12784,559,Established,""
12793,560,Established,""
12866,561,Established,""
9539,562,Established,""
10878,563,Established,""
10959,564,Established,""
11017,565,Established,""
5614,566,Established,""
10419,567,Established,""
21415,568,Established,""
8232,569,Established,""
5995,570,Established,""
17072,571,Established,""
16970,572,Established,""
20470,573,Established,""
20560,574,Established,""
20666,575,Established,""
16574,576,Established,""
1488,577,Established,""
4392,578,Established,""
5464,579,Established,""
16633,630,Established,""
12740,631,Established,""
12749,632,Established,""
12768,633,Established,""
12773,634,Established,""
12784,635,Established,""
12793,636,Established,""
12807,637,Established,""
12810,638,Established,""
12823,639,Established,""
12779,640,Established,""
12842,641,Established,""
18248,642,Established,""
2235,643,Established,""
2246,644,Established,""
22615,645,Established,""
7338,646,Established,""
8712,647,Established,""
16970,648,Established,""
6742,649,Established,""
6752,650,Established,""
6765,651,Established,""
6867,652,Established,""
6893,653,Established,""
7010,654,Established,""
6819,655,Established,""
7046,656,Established,""
7080,657,Established,""
2319,658,Established,""
9471,659,Established,""
17841,660,Established,""
7900,661,Established,""
7165,662,Established,""
22002,663,Established,""
22182,664,Established,""
