idspecies,id_sp_region,region_of_first_record,sourceid
608,100271,"Moira, Co Down",""
50114,100272,"Kinsale, Co Cork.",""
50116,100274,"Shannon (see comments), Killaloe, Co Clare.",""
50117,100275,"small lake in suburbs of Cork, Co Cork.",""
50118,100276,"Lough Erne, Co Fermanagh.",""
50120,100278,"Galway Bay, Co Galway.",""
50122,100280,"Lough Lene, Co Westmeath.",""
661,100281,"Dunlewy Lough, Co Donegal.",""
50124,100282,"Galway Bay, Co Clare.",""
495,100284,"Ashford, Co Wiclow.",""
50127,100285,"Dublin Port, Co Dublin.",""
50128,100286,"Lough Foyle, Co Derry.",""
50129,100287,"Belfast Lough, Co Antrim.",""
50132,100290,"Cork Harbour, Co Cork.",""
50487,100291,"Clare Island, Co Mayo.",""
50134,100292,"Carlingford Lough, Co Louth.",""
53244,100294,"Botanic Gardens, Co Dublin.",""
50138,100296,"Clew Bay, Co Mayo.",""
50139,100297,"Bertraghbouy Bay, Co Galway.",""
50143,100301,"Slyne Head, Co Galway.",""
50144,100302,"Lough Key, Co Roscommon.",""
50145,100303,"Galway Bay, Co Galway.",""
50146,100304,"Bantry Bay, Co Cork.",""
50147,100305,"Giant's Causway, Co Antrim.",""
50148,100306,"Lough Hyne, Co Cork.",""
50149,100307,"L Derg, Cos Clare, Galway, Tipperary; Clonmacnoise, Co Offaly.",""
50151,100309,"Fenit, Co Kerry",""
53287,100311,St Georges Channel.,""
50154,100312,"Phoenix Park, Co Dublin.",""
53290,100313,"Ballisodare Bay, Co Sligo.",""
50156,100314,"Cork Harbour, Co Cork.",""
50157,100315,"Carlingford Lough, Co Louth.",""
8738,100316,"Gosford Forest Park, Co Armagh.",""
50159,100317,"Ballinakill Bay, Co Galway.",""
50161,100319,"Cork Harbour, Co Cork.",""
50162,100320,unknown,""
50163,100321,"Kilsheelan, Co Tipperary.",""
50165,100323,"Ardfry, Co Galway.",""
50169,100327,"Lough Derg, Co Tipperary.",""
50170,100328,"Castle Espie, Co Down.",""
1031,100329,"Lough Nasool, Co Sligo.",""
50172,100330,"Lough Hyne, Co Cork.",""
1052,100331,"Waringstown, Co Down.",""
1091,100332,"Botanic Gardens, Co Dublin.",""
50176,100334,"Waterford Estuary, Co Waterford.",""
101373,100337,"Black Lake, Co. Roscommon.",""
50180,100338,"Cork Harbour, Co Cork.",""
50181,100339,"Coleraine, Co Derry.",""
50182,100340,"Lough Neagh, Co Derry.",""
50186,100344,"Connemara, Co Galway.",""
50187,100345,"Connemara, Co Galway.",""
50191,100349,"New Quay, Co Clare.",""
50192,100350,unknown,""
50193,100351,"Old Head of Kinsale, Co Cork.",""
17470,100352,"Howth, Co Dublin.",""
50195,100353,"River Barrow, Co Carlow.",""
21164,100355,"Glastry, Co Down.",""
50198,100356,"Phoenix Park and Terenure Lake, Co Dublin.",""
50199,100357,"Smerwick Harbour, Co Kerry.",""
50200,100358,"Carna, Co Galway.",""
50201,100359,"Louisbourg, Co Mayo.",""
5110,100361,"Lough Trusan, Co Galway.",""
50204,100362,"Kilmore Quay, Co Wexford.",""
50205,100363,"Strangford Lough, Co Down.",""
1142,100364,"Cork City, Co Cork.",""
681,100365,"Ballyconnell, Co Sligo.",""
50208,100366,"River Inny, Co Westmeath.",""
50209,100367,"Blackwater River, Co Cork.",""
673,100372,"Woodfield Bog, Co Offaly.",""
50215,100373,south coast of Ireland.,""
50217,100375,"Dublin Bay, Co Dublin.",""
50218,100376,"Cork Harbour, Co Cork.",""
50564,100377,"Dublin Bay, Co Dublin.",""
50224,100382,"Dungarvan Bay, Co Waterford.",""
9151,100383,"Glastry clay-pits, Co Down.",""
50227,100385,"Carlingford Lough, Co Louth.",""
50228,100386,unknown,""
540,100387,"near Carrablagh, Co Donegal.",""
21451,100388,"Lagan Canal, Co Down.",""
50231,100389,North Irish Sea,""
50232,100390,"Ballina Bay, Co Mayo.",""
50233,100391,unknown,""
50235,100393,"Lough Derg, Cos Clare, Galway, Tipperary; Clonmacnoise, Co Offaly.",""
50236,100394,Clew Bay Co Mayo.,""
50237,100395,Clew Bay Co Mayo.,""
50238,100396,"Belmullet Peninsula, Co Mayo.",""
50240,100398,"Carnsore Point, Co Wexford.",""
101293,100402,"National Botanic Gardens, Co Dublin",""
50245,100403,"Lough Neagh, Co Armagh.",""
50247,100405,"Cork Harbour, Co Cork.",""
50250,100408,"Mulroy Bay, Co Donegal.",""
5419,100410,"Glan Lough, Co Cork.",""
53448,100413,"Coleraine, Co Derry.",""
50256,100414,"Cross River, Co Roscommon.",""
50257,100415,"Cross River, Co Roscommon.",""
50258,100416,"Lough Corrib, Co Galway.",""
50259,100417,"Assaroe Reservoir, Co Donegal.",""
50261,100420,"Blackwater River, Co Cork.",""
655,100421,"Glan Lough, Co Cork",""
50263,100422,"Strangford Lough, Co Down.",""
50264,100423,unknown,""
50265,100424,"Belfast Lough, Co Antrim.",""
4832,100426,"Cork Harbour, Co Cork.",""
4841,100427,"Costello Lodge, Co Galway.",""
4823,100428,"Bull Island, Co Dublin.",""
50271,100430,"Cork Harbour, Co Cork.",""
50273,100432,"Connemara, Co Galway.",""
53495,100433,"Kilkee, Co Clare.",""
50275,100434,"Carlingford Lough, Co Louth.",""
50279,100438,Co Cork.,""
50283,100442,"Belfast Port, Co Antrim.",""
53401,100445,Dniper Basin,""
50287,100446,Lake Lukomlskoe,""
50289,100448,Lake Beloe,""
50290,100449,Lake Beloe,""
50169,100450,Unknown,""
50291,100451,Dniper Basin,""
50292,100452,Neman basin,""
50293,100453,Lakes Beloe and Bobrovichi,""
50294,100454,Unknown,""
50295,100455,Lake Lukomlskoe,""
50296,100456,Lake Navlickoe,""
50162,100457,Unknown,""
50297,100458,Unknown,""
50298,100459,Lake Beloe,""
50299,100460,Ponds of Western Belarus,""
50300,100461,Lake Beloe,""
50301,100462,Ponds of fish factory Selec,""
50302,100463,"Rivers Sozh, Pripyat, Pina, Muhavec",""
50303,100464,"Rivers Dnieper, Pripyat",""
50304,100465,Rivers Dnieper and Sozh,""
50305,100466,Ponds of trout factory,""
100707,100467,Pond nearby Minsk,""
50307,100468,River Ptich,""
50310,100482,Styria (Graz),""
50310,100483,Corroios,""
50312,100485,Majorca,""
50312,100487,Alpes,""
50312,100488,Yarkon River in Tel Aviv,""
50312,100489,Roma,""
50312,100491,"Cubelles, Barcelona",""
50312,100492,"Middle East Technical University, Ankara",""
50312,100493,England,""
50314,100495,Vienna,""
50314,100497,"Gran Canaria, Tenerife",""
50314,100498,Cote d'Azur,""
50314,100499,Barcelona,""
50315,100501,Gran Canaria,""
50315,100502,Beaulieu-sur-mer (6),""
50315,100503,Across Israel,""
50315,100504,Valencia,""
50317,100506,Vienna (Wilhelminenberg),""
50317,100507,Bastogne in Luxemburg province,""
50317,100508,Cenral Bohemia region (Mlada Boleslav),""
50317,100509,Cleres north of Rouen,""
50317,100510,Berlin,""
50317,100517,"NW Poland, near Walcz",""
50317,100519,Basel,""
50317,100520,Ascania-Nova reserve,""
50317,100521,Berkshire,""
50318,100522,riverine forest along the Danube (Tullner Feld 1986),""
50318,100523,"Lovendegem, Oost-Vlaanderen and Heusden, Vlaams-Brabant",""
50318,100524,Zlin region (Kvasice),""
50318,100526,Ferrera,""
50318,100528,Plymouth,""
50319,100529,Fuerteventura - Canary Isl.,""
50319,100530,Southern France,""
50319,100533,Porto Santo,""
50319,100535,near Gilbraltar,""
50320,100537,W Styria (Furthnerteich),""
50320,100538,island LoÅ¡inj,""
50320,100539,All regions,""
50320,100540,South of Paris,""
50320,100544,Salina and Volcano islands (Messina),""
50320,100547,"Bedforshire, Surrey, Peebleshire in Scotland",""
50321,100549,All regions,""
50321,100551,Crimea,""
50322,100552,"Lower Austria (Merkenstein, Lower Austria 1993)",""
50322,100553,"Santa Maria, Sao Miguel, Terceira",""
50322,100554,Liege and Tournai,""
50322,100555,Gran Canaria,""
50322,100556,All regions,""
50322,100557,"middle Rhine, Bacharach",""
50322,100558,County Galway,""
50322,100559,"Porto Santo, Madiera",""
50322,100563,"Windsor in Berkshire, Richmond in Surrey",""
50323,100565,Upper Austria (Inn),""
50323,100567,"Wijnegem, Antwerp in Flanders",""
50323,100572,"Gush Dan,Shfelat Yehuda, Western Negev, Acre Valley",""
50323,100575,Rijswijk southeast of Den Haag in Zuid Holland,""
50323,100576,"Basses d'en Coll, d'en Pais, d'en Girona, VallÃ©s county, Barcelona, Embalse de San AndrÃ©s, Asturies",""
50323,100579,St. James Park,""
50324,100581,Barrinha de Esmoriz,""
50325,100582,Orleans,""
50325,100583,Eilat,""
50325,100584,River Sile (Treviso),""
50325,100585,Elvas,""
50325,100586,Arganda southeast of Madrid,""
50326,100588,wetland near Lisboa,""
50327,100590,Warstein in HÃ¼neberg,""
50327,100591,Genova,""
50327,100593,"Wartstein, HÃ¼nenberg",""
50328,100594,"HÃ¼rth near KÃ¶ln (Cologne), Wiesbaden",""
50329,100595,Tenerife,""
50330,100596,Tenerife,""
50330,100597,Stuttgart,""
50331,100598,Stuttgart,""
50332,100599,"Ayia Napa, Famagusta District & Pyroi, Larnaca",""
50333,100600,Ireland,""
50333,100601,Scotland,""
50334,100603,Yarkon River in Tel Aviv,""
50336,100605,Hesbaye,""
50340,100615,Lake Constance region?,""
50340,100616,nature reserve Zwin in Knokke-Heist,""
50340,100618,Lake Constance region?,""
50342,100623,"Argyll, Scotland",""
50345,100627,West-central Finland,""
50346,100629,"Upper Austria (Inn, Steyr, Enns)",""
50346,100630,South Bohemia region,""
50346,100638,Ascania-Nova reserve,""
50346,100639,"Midlands, S. England",""
50347,100641,"Tholen, Zeeland",""
50348,100644,"Lofoten, Finmark",""
50349,100645,Barcelona,""
50349,100646,"Bromley, Kent",""
50350,100648,"Barcelona, Valencia",""
50351,100649,"Barcelona, Valencia",""
50352,100650,Yorkshire,""
50355,100657,"Bashkivia, Moscow",""
50357,100660,Upper Austria,""
50357,100664,Helsinki,""
50357,100665,Numerous localities,""
50357,100673,"Nesodden, Oslo",""
50357,100674,"Western Pomerania, near Swidwino",""
50357,100675,Azov goszakaznik - Krasnodar edge,""
50357,100676,"Varnanas, Kalmar",""
50357,100677,Lake Constance region?,""
50357,100678,Ascania-Nova reserve,""
50357,100679,St. James Park,""
50358,100681,Upper Austria (Marchtrenk 1997),""
50358,100684,Schleswig-Holstein,""
50360,100689,Sohland,""
50363,100695,Askania Nova,""
50363,100696,Buxton,""
50364,100697,Upper Austria (Gmunden 1982),""
50364,100702,"Beit Shean valley,Gush Dan",""
50364,100704,Cubelles (Barcelona),""
50364,100706,"Ely, Cambridgeshire",""
50365,100707,Casabianda,""
50365,100710,Numerous localities,""
50366,100716,"Yarkon Park, Tel Aviv",""
50368,100718,Sao Jorge; Faial; Sao Miguel; Terciera,""
50369,100719,"Sao Miguel, Terciera",""
50373,100725,Upper Austria,""
50373,100726,BÅ™eclav (South Moravia region),""
50374,100729,Istria,""
50374,100730,All 5 districts of south Cyprus (as for Pheasant). Part of Game Fund release project,""
50374,100731,Numerous localities,""
50374,100732,Hanover,""
50374,100733,Kildare and Cork,""
50374,100739,Fosslorjo,""
50374,100740,Norfolk,""
50376,100742,Unknown,""
50376,100748,cities in S. Finland,""
50377,100761,"Evora, S. Portugal",""
50378,100763,Eilat,""
50378,100764,"Hoek van Holland, Rotterdam",""
50381,100772,Barcelona,""
50382,100773,Vienna (Wasserpark),""
50382,100775,Flanders,""
50382,100776,Some localities,""
50382,100782,Danube near border with Austria,""
50382,100786,Surrey,""
50384,100793,Numerous localities,""
50384,100797,Reykjavik,""
50384,100798,Northern Italy,""
50384,100801,SÃ¤gaweier Triesen,""
50390,100820,Lagoa de Obidos north of Lisbon,""
