SP_idspecies,SP_genus,SP_species,SP_authority,SP_subtaxon,SP_subtaxon_rank,SP_subtaxon_authority,TG_taxon_group,SP_phylum,SP_class,SP_ordo,SP_family,EG_ecofunct_group,SP_sourceid
"5","Telaranea","murphyae","Paton","","","","Bryophyta","Marchantiophyta","Jungermanniopsida","Jungermanniales","Lepidoziaceae",\N,"6"
"6","Telaranea","tetradactyla","","","","","Bryophyta","Marchantiophyta","Jungermanniopsida","Jungermanniales","Lepidoziaceae",\N,"17500"
"7","Lophocolea","bispinosa","(Hook. f. & Taylor) Gottsche et al.","","","","Bryophyta","Marchantiophyta","Jungermanniopsida","Jungermanniales","Geocalycaceae",\N,"17500"
"8","Lophocolea","semiteres","(Lehm.) Mitt.","","","","Bryophyta","Marchantiophyta","Jungermanniopsida","Jungermanniales","Geocalycaceae",\N,"65"
"9","Sphaerocarpos","michelii","Bellardi","","","","Bryophyta","Marchantiophyta","Marchantiopsida","Sphaerocarpales","Sphaerocarpaceae",\N,"26"
"10","Sphaerocarpos","texanus","Austin","","","","Bryophyta","Marchantiophyta","Marchantiopsida","Sphaerocarpales","Sphaerocarpaceae",\N,"26"
"11","Riccia","crystallina","L.","","","","Bryophyta","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae",\N,"26"
"15","Riccia","rhenana","Lorb. ex Müll. Frib.","","","","Bryophyta","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae",\N,"26"
"16","Ricciocarpos","natans","(L.) Corda","","","","Bryophyta","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae",\N,"59"
"18","Atrichum","crispum","(James) Sull. & Lesq.","","","","Bryophyta","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",\N,"26"
"19","Pogonatum","dentatum","(Menzies ex Brid.) Brid.","","","","Bryophyta","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",\N,"59"
"34","Polytrichum","hyperboreum","R.Br.","","","","Bryophyta","Bryophyta","Bryopsida","Polytrichales","Polytrichaceae",\N,"59"
"36","Orthodontium","lineare","Schwägr.","","","","Bryophyta","Bryophyta","Bryopsida","Bryales","Bryaceae",\N,"59"
"42","Acrophyllum","dentatum","(Hook. f. & W.) Vitt & Crosby","","","","Bryophyta","Bryophyta","Bryopsida","Hookeriales","Daltoniaceae",\N,"61"
"43","Calyptrochaeta","apiculata","Desv.","","","","Bryophyta","Bryophyta","Bryopsida","Hookeriales","Daltoniaceae",\N,"17500"
"46","Hennediella","macrophylla","(R. Br. bis) Paris","","","","Bryophyta","Bryophyta","Bryopsida","Pottiales","Pottiaceae",\N,"17500"
"48","Hennediella","stanfordensis","(Steere) Blockeel","","","","Bryophyta","Bryophyta","Bryopsida","Pottiales","Pottiaceae",\N,"64"
"51","Syntrichia","amplexa","(Lesq.) R.H. Zander","","","","Bryophyta","Bryophyta","Bryopsida","Pottiales","Pottiaceae",\N,"65"
"53","Tortula","freibergii","Dixon & Loeske","","","","Bryophyta","Bryophyta","Bryopsida","Pottiales","Pottiaceae",\N,"65"
"54","Campylopus","introflexus","(Hedw.) Brid.","","","","Bryophyta","Bryophyta","Bryopsida","Dicranales","Dicranaceae",\N,"6"
"65","Selaginella","apoda","(L.) Spring","","","","Pteridophyta","Lycopodiophyta","Lycopodiopsida","Selaginellales","Selaginellaceae",\N,"58"
"67","Selaginella","kraussiana","(G. Kunze) A. Braun","","","","Pteridophyta","Lycopodiophyta","Lycopodiopsida","Selaginellales","Selaginellaceae",\N,"58"
"77","Botrychium","simplex","Hitchc.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Ophioglossales","Ophioglossaceae",\N,"26"
"78","Osmunda","regalis","L.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Osmundales","Osmundaceae",\N,"26"
"81","Dicksonia","antarctica","Labill.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dicksoniaceae",\N,"58"
"83","Dennstaedtia","punctilobula","(Michx.) Moore","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dennstaedtiaceae",\N,"58"
"85","Microlepia","platyphylla","(D. Don) J.E. Sm.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dennstaedtiaceae",\N,"26"
"86","Nephrolepis","cordifolia","(L.) C. Presl","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Polypodiaceae",\N,"5"
"87","Nephrolepis","exaltata","(L.) Schott","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Polypodiaceae",\N,"58"
