SP_idspecies,SP_genus,SP_species,SP_authority,SP_subtaxon,SP_subtaxon_rank,SP_subtaxon_authority,TG_taxon_group,SP_phylum,SP_class,SP_ordo,SP_family,EG_ecofunct_group,SP_sourceid
"88","Sphaeropteris","cooperi","(F.Müll.) R.M. Tryon","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Cytheaceae",\N,"5"
"90","Blechnum","capense","(L.) Schlecht.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Blechnaceae",\N,"58"
"91","Blechnum","cordatum","(Desv.) Hieron","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Blechnaceae",\N,"58"
"94","Blechnum","occidentale","L.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Blechnaceae",\N,"58"
"95","Blechnum","occidentale","L.","appendiculata","var.","Hieron.","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Blechnaceae",\N,"5"
"97","Blechnum","spicant","(L.) Roth","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Blechnaceae",\N,"58"
"105","Doodia","caudata","(Cav.) R. Br.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Blechnaceae",\N,"26"
"107","Deparia","petersenii","(Kunze) M. Kato","","","","Pteridophyta","Polypodiophyta","Polypodiopsida","Polypodiales","Dryopteridaceae",\N,"26"
"108","Asplenium","foreziense","Legrand [in Sched.]","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Aspleniaceae",\N,"58"
"119","Phyllitis","scolopendrium","(L.) Newman","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Aspleniaceae",\N,"58"
"130","Adiantum","capillus-veneris","L.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Adiantaceae",\N,"58"
"139","Adiantum","hispidulum","Sw.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Adiantaceae",\N,"58"
"141","Adiantum","raddianum","C.Presl","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Adiantaceae",\N,"58"
"143","Ceratopteris","thalictroides","(L.) Brongn.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Adiantaceae",\N,"58"
"145","Onychium","japonicum","(Thunb.) G. Kunze","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Adiantaceae",\N,"26"
"146","Phlebodium","aureum","(L.) J. Smith","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Polypodiaceae",\N,"26"
"148","Phymatosorus","diversifolius","(Willd.) Pichi Serm.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Polypodiaceae",\N,"58"
"152","Platycerium","bifurcatum","(Cav.) C. Chr.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Polypodiaceae",\N,"26"
"154","Polypodium","hesperium","Maxon","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Polypodiaceae",\N,"58"
"156","Diplazium","esculentum","(Retz.) Sw.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Woodsiaceae",\N,"26"
"157","Matteuccia","struthiopteris","(L.) Tod.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Woodsiaceae",\N,"58"
"170","Onoclea","sensibilis","L.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Woodsiaceae",\N,"58"
"173","Cyrtomium","falcatum","(L. f.) C. Presl","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"188","Cyrtomium","fortunei","J. Smith","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"26"
"189","Cystopteris","bulbifera","(L.) Bernh.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"193","Dryopteris","oreades","Fomin","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"208","Polystichum","aculeatum","(L.) Roth","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"224","Polystichum","braunii","(Spenn.) Fée","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"225","Polystichum","lonchitis","(L.) Roth","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"227","Polystichum","munitum","(Kaulf.) C.Presl","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"58"
"230","Rumohra","adiantiformis","(Forster) Ching","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Dryopteridaceae",\N,"26"
"232","Pellaea","viridis","(Forssk.) Prantl","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"26"
"233","Pityrogramma","calomelanos","(L.) Link","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"26"
"234","Pityrogramma","ebenea","(L.) Proctor","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"26"
"235","Pteris","cretica","","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"17500"
"239","Pteris","multifida","Poir.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"58"
"242","Pteris","tremula","R.Br.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"58"
"244","Pteris","vittata","L.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Pteridaceae",\N,"58"
"253","Equisetum","arvense","L.","","","","Pteridophyta","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae",\N,"26"
"254","Equisetum","palustre","L.","","","","Pteridophyta","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae",\N,"26"
"255","Equisetum","ramosissimum","","","","","Pteridophyta","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae",\N,"17500"
"264","Equisetum","variegatum","Schleich.","","","","Pteridophyta","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae",\N,"58"
"273","Cycas","circinalis","L.","","","","Gymnospermae","Cycadophyta","Cycadopsida","Cycadales","Cycadaceae",\N,"26"
"274","Cycas","revoluta","Thunb.","","","","Gymnospermae","Cycadophyta","Cycadopsida","Cycadales","Cycadaceae",\N,"26"
"275","Encephalartos","lehmannii","Lehm.","","","","Gymnospermae","Cycadophyta","Cycadopsida","Cycadales","Zamiaceae",\N,"26"
"276","Encephalartos","transvenosus","Stapf & Burtt Davy","","","","Gymnospermae","Cycadophyta","Cycadopsida","Cycadales","Zamiaceae",\N,"26"
"277","Ginkgo","biloba","L.","","","","Gymnospermae","Ginkgoophyta","Gingkopsida","Gingkoales","Ginkgoaceae",\N,"58"
"278","Metasequoia","glyptostroboides","Hu & W.C. Cheng","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxodiaceae",\N,"26"
"279","Sciadopitys","verticillata","(Thunb.) Siebold & Zucc.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxodiaceae",\N,"5"
"280","Sequoiadendron","giganteum","(Lindl.) J.Buchholz","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxodiaceae",\N,"58"
"292","Taxodium","distichum","(L.) L.C.M. Rich.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxodiaceae",\N,"9"
"294","Agathis","brownii","(Lem.) L.H. Bailey","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Araucariaceae",\N,"5"
"295","Araucaria","araucana","(Molina) K. Koch","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Araucariaceae",\N,"58"
"304","Araucaria","bidwillii","Hook.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Araucariaceae",\N,"26"
"305","Araucaria","heterophylla","(Salisb.) Franco","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Araucariaceae",\N,"26"
"306","Cephalotaxus","fortunei","Hook.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cephalotaxaceae",\N,"5"
"307","x Cuprocyparis","leylandii","(A.B. Jacks. & Dallim.) Farjon & Hiep","","hyb.","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"315","Calocedrus","decurrens","(Torr.) Florin","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"316","Chamaecyparis","lawsoniana","(A. Murray) Parl.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"327","Chamaecyparis","nootkatensis","(D.Don) Spach","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"331","Chamaecyparis","pisifera","(Siebold & Zucc.) Endl.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"334","Chamaecyparis","thyoides","""(L.) Britton, Sterns & Poggenb.""","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"26"
"335","Cryptomeria","japonica","(L.f.) D. Don","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"340","Cupressus","arizonica","Greene","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"341","Cupressus","goveniana","Gordon","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"26"
"342","Cupressus","lusitanica","Mill.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"348","Cupressus","macrocarpa","Hartw.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"352","Cupressus","sempervirens","L.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"364","Juniperus","chinensis","L.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"366","Juniperus","sabina","L.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"26"
"367","Juniperus","virginiana","L.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"368","Platycladus","orientalis","(L.) Franco","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"378","Tetraclinis","articulata","(Vahl) Mast.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"380","Thuja","occidentalis","L.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"383","Thuja","plicata","D.Don ex Lamb.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Cupressaceae",\N,"58"
"394","Abies","x insignis","Carrière ex Bailly","","hyb.","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"397","Abies","alba","Mill.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"403","Abies","balsamea","(L.) Mill.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"406","Abies","balsamea","(L.) Mill.","phanerolepis","var.","Fern.","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"10"
"408","Abies","cephalonica","J.W. Loudon","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"26"
"409","Abies","concolor","(Gordon & Glend.) Lindl. ex Hildebr.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"411","Abies","fraseri","(Pursh) Poir.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"26"
"414","Abies","grandis","(Douglas ex D. Don) Lindl.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"421","Abies","lasiocarpa","(Hook.) Nutt.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"423","Abies","nordmanniana","(Steven) Spach","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"428","Abies","pinsapo","Boiss.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"430","Abies","procera","Rehder","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"434","Abies","sibirica","Ledeb.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"435","Abies","veitchii","Lindl.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"26"
"436","Cedrus","atlantica","(Manetti ex Endl.) Carrière","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"446","Cedrus","deodara","(Roxb. ex D .Don) G. Don","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"461","Cedrus","libani","A. Rich.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"471","Christella","dentata","(Forssk.) Brownsey & Jermy","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Thelypteridaceae",\N,"26"
"473","Pteridium","aqulinum","(L.) Kuhn ex Kersten","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Filicales","Hypolepidaceae",\N,"26"
"485","Salvinia","x molesta","D.S.Mitch.","","hyb.","","Pteridophyta","Polypodiophyta","Pteridopsida","Salviniales","Salviniaceae",\N,"58"
"489","Salvinia","auriculata","Aubl.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Salviniales","Salviniaceae",\N,"26"
"491","Salvinia","natans","(L.) All.","","","","Pteridophyta","Polypodiophyta","Pteridopsida","Salviniales","Salviniaceae",\N,"58"
"495","Azolla","filiculoides","","","","","Pteridophyta","Polypodiophyta","Polypodiopsida","Salviniales","Azollaceae","Terrestrial plant","17500"
"500","Azolla","mexicana","C. Presl","","","","Pteridophyta","Polypodiophyta","Polypodiopsida","Salviniales","Azollaceae",\N,"58"
"504","Pseudotsuga","menziesii","(Mirb.) Franco","menziesii","var.","(Mirb.) Franco","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"507","Tsuga","canadensis","(L.) Carrière","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"512","Tsuga","heterophylla","(Raf.) Sarg.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"514","Tsuga","mertensiana","(Bong.) Carrière","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Pinaceae",\N,"58"
"516","Sequoia","sempervirens","(D.Don) Endl.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxaceae",\N,"58"
"525","Taxus","x media","Rehder","","hyb.","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxaceae",\N,"58"
"528","Taxus","baccata","L.","","","","Gymnospermae","Pinophyta","Pinopsida","Pinales","Taxaceae",\N,"58"
"532","Ephedra","altissima","Desf.","","","","Gymnospermae","Gnetophyta","Ephedropsida","Ephedrales","Ephedraceae",\N,"26"
"533","Ephedra","distachya","L.","","","","Gymnospermae","Gnetophyta","Ephedropsida","Ephedrales","Ephedraceae",\N,"58"
"535","Cabomba","caroliniana","A. Gray","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Cabombaceae",\N,"6"
"538","Nuphar","advena","(Aiton) Aiton f.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"6"
"540","Nuphar","pumila","","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"17500"
"543","Nymphaea","x marliacea","hort.","","hyb.","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"6"
"547","Nymphaea","alba","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"26"
"549","Nymphaea","lotus","L.","thermalis","var.","(DC.) Tuzson","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"6"
"553","Nymphaea","mexicana","Zucc.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"6"
"556","Nymphaea","rubra","Roxb. ex Salisb.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae",\N,"6"
"557","Ceratophyllum","demersum","","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Ceratophyllales","Ceratophyllaceae",\N,"10000"
"558","Ceratophyllum","pentacanthum","Haynald","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Ceratophyllales","Ceratophyllaceae",\N,"34"
"563","Ceratophyllum","submersum","","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Ceratophyllales","Ceratophyllaceae","Terrestrial plant","17500"
"565","Liriodendron","tulipifera","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Magnoliales","Magnoliaceae",\N,"6"
"566","Magnolia","grandiflora","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Magnoliales","Magnoliaceae",\N,"6"
"568","Magnolia","liliiflora","Desr.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Magnoliales","Magnoliaceae",\N,"26"
"574","Magnolia","stellata","(Siebold & Zucc.) Maxim.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Magnoliales","Magnoliaceae",\N,"26"
"580","Calycanthus","floridus","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Calycanthaceae",\N,"26"
"581","Chimonanthus","fragrans","Lindl.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Calycanthaceae",\N,"26"
"582","Cinnamomun","zeylanicum","Nees","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae",\N,"5"
"583","Laurus","nobilis","","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae",\N,"17500"
"585","Ocotea","foetens","(Ait.) Benth. & Hook. f.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae",\N,"5"
"586","Persea","americana","Mill.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae",\N,"26"
"587","Persea","indica","(L.) Spreng.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae",\N,"9"
"590","Maireana","brevifolia","(R. Br.) P.G. Wilson","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Canellales","Winteraceae",\N,"6"
"593","Aristolochia","clematitis","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Piperales","Aristolochiaceae",\N,"6"
"596","Aristolochia","macrophylla","Lam.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Piperales","Aristolochiaceae",\N,"26"
"598","Aristolochia","rotunda","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Piperales","Aristolochiaceae",\N,"6"
"600","Aristolochia","sempervirens","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Piperales","Aristolochiaceae",\N,"6"
"604","Asarum","europaeum","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Piperales","Aristolochiaceae",\N,"6"
"607","Saururus","cernuus","L.","","","","Magnoliophyta","Magnoliophyta","Magnoliopsida","Piperales","Saururaceae",\N,"6"
"608","Acorus","calamus","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Acorales","Acoraceae","Terrestrial plant","17500"
"619","Acorus","gramineus","Sol. ex Aiton","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Acorales","Acoraceae",\N,"4"
"622","Alisma","lanceolatum","With.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"26"
"623","Baldellia","ranunculoides","(L.) Parl.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"26"
"624","Luronium","natans","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"17500"
"625","Sagittaria","trifolia","L.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"15"
"627","Sagittaria","graminea","Michx.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"19"
"629","Sagittaria","lancifolia","L.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"26"
"632","Sagittaria","latifolia","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"17500"
"653","Sagittaria","platyphylla","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"17500"
"655","Sagittaria","rigida","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"17500"
"657","Sagittaria","sagittifolia","L.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"26"
"658","Sagittaria","subulata","(L.) Buchenau","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Alismataceae",\N,"4"
"661","Aponogeton","distachyos","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Aponogetonales","Aponogetonaceae",\N,"17500"
"664","Lemna","aequinoctialis","Welw.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"26"
"667","Zantedeschia","aethiopica","(L.) Spreng.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"19"
"673","Lysichiton","americanus","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"17500"
"676","Lysichiton","americanus x camtschatcensis","","","hyb.","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"6"
"677","Lysichiton","camtschatcensis","(L.) Schott","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"4"
"680","Lemna","minor","L.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"26"
"681","Lemna","minuta","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Arales","Lemnaceae",\N,"17500"
"695","Spirodela","oligorrhiza","(Kurz) Hegelm.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"26"
"696","Lemna","perpusilla","Torr.","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"26"
"697","Spirodela","polyrhiza","(L.) Schleiden","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"19"
"702","Arisarum","proboscideum","(L.) Savi","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"9"
"704","Spirodela","punctata","(G.F.W. Meyer) Thompsom","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Alismatales","Araceae",\N,"26"
"706","Lemna","turionifera","","","","","Magnoliophyta","Magnoliophyta","Liliopsida","Arales","Lemnaceae",\N,"17500"
